Samples: 100 | AI: 50 | Random: 50 | Reject-pct: 25% (25 reports) | Orgs: 20 (on-chain) | Mode: direct

  WARNING: /predict returned 0: timed out
  WARNING: /api/reports returned 400: {'detail': 'gateway service error (500): {"ok":false,"function":"Submit","org":"org1","error":"error in simulation: failed to execute transaction 938570119aaa1a4703ec0da4121cd8c391196af09eb7e663788fe6255df46b9d: error sending: chaincode stream terminated"}'}
  [   1/100] FAIL za-elec-ink-009       org=org1      label=0  conf=0.82  fc=0  4707ms
  [   2/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  6404ms
  [   3/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=11  2224ms
  [   4/100] FAIL f2d1c8_gen-samples-v  org=org1      label=0  conf=1.00  fc=10  2203ms
  [   5/100] FAIL f2d1c8_gen-samples-v  org=org1      label=0  conf=1.00  fc=10  2220ms
  [   6/100] FAIL f2d1c8_gen-samples-v  org=org1      label=0  conf=1.00  fc=10  2174ms
  [   7/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2150ms
  [   8/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2152ms
  [   9/100] FAIL za-elec-topo-05       org=org1      label=1  conf=1.00  fc=10  2144ms
  [  10/100] FAIL kzn-mun-fin-006       org=org1      label=0  conf=1.00  fc=10  2138ms
  [  11/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2155ms
  [  12/100] FAIL za-elec-2026-01       org=org1      label=1  conf=1.00  fc=10  2155ms
  [  13/100] FAIL f2d1c8_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2159ms
  [  14/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2147ms
  [  15/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2155ms
  [  16/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2170ms
  [  17/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2159ms
  [  18/100] FAIL f2d1c8_gen-samples-v  org=org1      label=1  conf=1.00  fc=10  2188ms
  [  19/100] FAIL f2d1c8_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2169ms
  [  20/100] FAIL za-elec-2026-08       org=org1      label=1  conf=0.75  fc=10  2158ms
  [  21/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2148ms
  [  22/100] FAIL sd-2024-009           org=org1      label=1  conf=1.00  fc=10  2164ms
  [  23/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2192ms
  [  24/100] FAIL za-elec-m04           org=org1      label=1  conf=1.00  fc=10  2166ms
  [  25/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2156ms
  [  26/100] FAIL f2d1c8_gen-samples-v  org=org1      label=1  conf=1.00  fc=10  2158ms
  [  27/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2159ms
  [  28/100] FAIL za-elec-2026-009      org=org1      label=0  conf=1.00  fc=10  2194ms
  [  29/100] FAIL f2d1c8_gen-samples-v  org=org1      label=0  conf=1.00  fc=11  2169ms
  [  30/100] FAIL df6f80_gen-samples-v  org=org1      label=1  conf=1.00  fc=10  2181ms
  [  31/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2178ms
  [  32/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2186ms
  [  33/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2154ms
  [  34/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2158ms
  [  35/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2187ms
  [  36/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2181ms
  [  37/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2219ms
  [  38/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2170ms
  [  39/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2190ms
  [  40/100] FAIL f2d1c8_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2164ms
  [  41/100] FAIL f2d1c8_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2184ms
  [  42/100] FAIL za-elec-2026-09       org=org1      label=0  conf=1.00  fc=10  2193ms
  [  43/100] FAIL f2d1c8_gen-samples-v  org=org1      label=0  conf=1.00  fc=10  2152ms
  [  44/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=0.99  fc=10  2149ms
  [  45/100] FAIL f2d1c8_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2157ms
  [  46/100] FAIL kzn-2021-008          org=org1      label=0  conf=1.00  fc=10  2158ms
  [  47/100] FAIL df6f80_sa-elections-  org=org1      label=0  conf=1.00  fc=10  2162ms
  [  48/100] FAIL f2d1c8_sa-elections-  org=org1      label=1  conf=1.00  fc=10  2171ms
  [  49/100] FAIL df6f80_sa-elections-  org=org1      label=1  conf=0.79  fc=10  2147ms
  [  50/100] FAIL mf-elec-10            org=org1      label=0  conf=1.00  fc=10  2147ms
  [  51/100] FAIL f2d1c8_gen-samples-v  org=org11     label=1  conf=0.83  fc=10  2140ms
  [  52/100] FAIL za-elec-dm-007        org=org18     label=0  conf=0.79  fc=10  2143ms
  [  53/100] FAIL za-elec-9009          org=org7      label=0  conf=0.96  fc=10  2153ms
  [  54/100] FAIL f2d1c8_sa-elections-  org=org18     label=0  conf=0.56  fc=10  2194ms
  [  55/100] FAIL za-elec-2026-003      org=org15     label=0  conf=0.88  fc=10  2165ms
  [  56/100] FAIL df6f80_sa-elections-  org=org6      label=1  conf=0.72  fc=10  2131ms
  [  57/100] FAIL df6f80_sa-elections-  org=org10     label=0  conf=0.72  fc=10  2164ms
  [  58/100] FAIL df6f80_sa-elections-  org=org6      label=0  conf=0.76  fc=10  2191ms
  [  59/100] FAIL za-elec-muni-007      org=org14     label=0  conf=0.59  fc=10  2146ms
  [  60/100] FAIL f2d1c8_gen-samples-v  org=org11     label=1  conf=0.65  fc=10  2145ms
  [  61/100] FAIL f2d1c8_gen-samples-v  org=org9      label=0  conf=0.77  fc=10  2151ms
  [  62/100] FAIL df6f80_sa-elections-  org=org11     label=1  conf=0.87  fc=10  2154ms
  [  63/100] FAIL df6f80_sa-elections-  org=org7      label=1  conf=0.83  fc=10  2139ms
  [  64/100] FAIL f2d1c8_sa-elections-  org=org13     label=1  conf=0.87  fc=10  2140ms
  [  65/100] FAIL za-elec-ink-001       org=org16     label=1  conf=0.53  fc=10  2139ms
  [  66/100] FAIL f2d1c8_sa-elections-  org=org7      label=0  conf=0.67  fc=10  2136ms
  [  67/100] FAIL df6f80_sa-elections-  org=org16     label=1  conf=0.52  fc=10  2142ms
  [  68/100] FAIL f2d1c8_sa-elections-  org=org9      label=1  conf=0.77  fc=10  2150ms
  [  69/100] FAIL f2d1c8_sa-elections-  org=org2      label=0  conf=0.67  fc=10  2161ms
  [  70/100] FAIL df6f80_sa-elections-  org=org20     label=1  conf=0.78  fc=10  2153ms
  [  71/100] FAIL za-elec-nm02          org=org8      label=1  conf=0.58  fc=10  2152ms
  [  72/100] FAIL f2d1c8_gen-samples-v  org=org16     label=1  conf=0.98  fc=10  2152ms
  [  73/100] FAIL za-elec-wc-2026-09    org=org10     label=0  conf=0.84  fc=10  2137ms
  [  74/100] FAIL za-elec-m03           org=org15     label=1  conf=0.97  fc=10  2153ms
  [  75/100] FAIL df6f80_sa-elections-  org=org12     label=1  conf=0.78  fc=10  2145ms
  [  76/100] FAIL za-elec-9003          org=org14     label=1  conf=0.50  fc=10  2172ms
  [  77/100] FAIL za-elec-ds-010        org=org4      label=1  conf=0.65  fc=10  2190ms
  [  78/100] FAIL df6f80_sa-elections-  org=org18     label=1  conf=0.63  fc=10  2148ms
  [  79/100] FAIL kzn-2021-003          org=org2      label=1  conf=0.86  fc=10  2157ms
  [  80/100] FAIL df6f80_sa-elections-  org=org17     label=1  conf=0.56  fc=10  2155ms
  [  81/100] FAIL f2d1c8_sa-elections-  org=org12     label=1  conf=0.57  fc=10  2160ms
  [  82/100] FAIL f2d1c8_sa-elections-  org=org16     label=0  conf=0.88  fc=10  2149ms
  [  83/100] FAIL f2d1c8_gen-samples-v  org=org18     label=1  conf=0.63  fc=10  2144ms
  [  84/100] FAIL za-elec-ink-010       org=org13     label=0  conf=0.73  fc=10  2147ms
  [  85/100] FAIL sa-elec-2026-10       org=org13     label=0  conf=0.63  fc=10  2188ms
  [  86/100] FAIL df6f80_sa-elections-  org=org6      label=0  conf=0.57  fc=10  2160ms
  [  87/100] FAIL f2d1c8_sa-elections-  org=org11     label=0  conf=0.83  fc=10  2151ms
  [  88/100] FAIL df6f80_sa-elections-  org=org14     label=1  conf=0.96  fc=10  2150ms
  [  89/100] FAIL f2d1c8_gen-samples-v  org=org3      label=1  conf=0.81  fc=10  2127ms
  [  90/100] FAIL f2d1c8_sa-elections-  org=org5      label=1  conf=0.63  fc=10  2136ms
